2theta,Intensity
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6,0.0
7.7,0.0
7.8,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.2,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.7,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.2,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.6,0.0
9.7,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.1,0.0
10.2,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.6,4.0
10.7,15.0
10.8,22.0
10.9,15.0
11.0,4.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,2.0
14.3,10.0
14.4,25.0
14.5,27.0
14.6,12.0
14.7,2.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,3.0
16.0,11.0
16.1,16.0
16.2,9.0
16.3,3.0
16.4,6.0
16.5,15.0
16.6,16.0
16.7,7.0
16.8,1.0
16.9,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,3.0
17.4,44.0
17.5,276.0
17.6,701.0
17.7,726.0
17.8,318.0
17.9,227.0
18.0,1170.0
18.1,3186.0
18.2,3543.0
18.3,1603.0
18.4,295.0
18.5,22.0
18.6,0.0
18.7,0.0
18.8,0.0
18.9,0.0
19.0,0.0
19.1,0.0
19.2,0.0
19.3,0.0
19.4,0.0
19.5,0.0
19.6,0.0
19.7,0.0
19.8,0.0
19.9,0.0
20.0,0.0
20.1,0.0
20.2,0.0
20.3,0.0
20.4,0.0
20.5,0.0
20.6,0.0
20.7,0.0
20.8,0.0
20.9,0.0
21.0,3.0
21.1,10.0
21.2,12.0
21.3,6.0
21.4,38.0
21.5,350.0
21.6,1345.0
21.7,2064.0
21.8,1263.0
21.9,308.0
22.0,30.0
22.1,0.0
22.2,0.0
22.3,0.0
22.4,0.0
22.5,0.0
22.6,0.0
22.7,0.0
22.8,0.0
22.9,17.0
23.0,240.0
23.1,1288.0
23.2,2825.0
23.3,2574.0
23.4,992.0
23.5,164.0
23.6,8.0
23.7,0.0
23.8,0.0
23.9,0.0
24.0,1.0
24.1,18.0
24.2,126.0
24.3,339.0
24.4,357.0
24.5,149.0
24.6,27.0
24.7,5.0
24.8,2.0
24.9,0.0
25.0,13.0
25.1,175.0
25.2,920.0
25.3,2083.0
25.4,2246.0
25.5,1239.0
25.6,335.0
25.7,38.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,0.0
26.3,0.0
26.4,0.0
26.5,0.0
26.6,0.0
26.7,0.0
26.8,0.0
26.9,1.0
27.0,10.0
27.1,33.0
27.2,45.0
27.3,23.0
27.4,5.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,3.0
28.1,71.0
28.2,723.0
28.3,3452.0
28.4,7207.0
28.5,6151.0
28.6,2070.0
28.7,270.0
28.8,2.0
28.9,35.0
29.0,246.0
29.1,655.0
29.2,669.0
29.3,277.0
29.4,301.0
29.5,1659.0
29.6,4013.0
29.7,3713.0
29.8,1312.0
29.9,177.0
30.0,14.0
30.1,49.0
30.2,178.0
30.3,247.0
30.4,131.0
30.5,26.0
30.6,2.0
30.7,0.0
30.8,0.0
30.9,0.0
31.0,15.0
31.1,250.0
31.2,1553.0
31.3,3653.0
31.4,3254.0
31.5,1098.0
31.6,140.0
31.7,0.0
31.8,0.0
31.9,0.0
32.0,0.0
32.1,0.0
32.2,4.0
32.3,55.0
32.4,267.0
32.5,484.0
32.6,331.0
32.7,90.0
32.8,17.0
32.9,6.0
33.0,2.0
33.1,13.0
33.2,112.0
33.3,462.0
33.4,1030.0
33.5,1101.0
33.6,499.0
33.7,163.0
33.8,248.0
33.9,278.0
34.0,119.0
34.1,19.0
34.2,1.0
34.3,8.0
34.4,62.0
34.5,188.0
34.6,213.0
34.7,90.0
34.8,14.0
34.9,1.0
35.0,0.0
35.1,0.0
35.2,2.0
35.3,28.0
35.4,181.0
35.5,457.0
35.6,528.0
35.7,474.0
35.8,343.0
35.9,115.0
36.0,15.0
36.1,0.0
36.2,0.0
36.3,0.0
36.4,0.0
36.5,16.0
36.6,198.0
36.7,894.0
36.8,1488.0
36.9,913.0
37.0,207.0
37.1,17.0
37.2,1.0
37.3,15.0
37.4,74.0
37.5,171.0
37.6,220.0
37.7,186.0
37.8,104.0
37.9,32.0
38.0,34.0
38.1,208.0
38.2,583.0
38.3,736.0
38.4,450.0
38.5,136.0
38.6,21.0
38.7,1.0
38.8,0.0
38.9,0.0
39.0,0.0
39.1,0.0
39.2,4.0
39.3,32.0
39.4,100.0
39.5,115.0
39.6,50.0
39.7,14.0
39.8,6.0
39.9,2.0
40.0,0.0
40.1,1.0
40.2,7.0
40.3,25.0
40.4,35.0
40.5,22.0
40.6,11.0
40.7,5.0
40.8,3.0
40.9,20.0
41.0,85.0
41.1,133.0
41.2,76.0
41.3,16.0
41.4,11.0
41.5,76.0
41.6,209.0
41.7,208.0
41.8,82.0
41.9,68.0
42.0,176.0
42.1,191.0
42.2,75.0
42.3,11.0
42.4,4.0
42.5,28.0
42.6,89.0
42.7,101.0
42.8,45.0
42.9,62.0
43.0,335.0
43.1,716.0
43.2,549.0
43.3,151.0
43.4,20.0
43.5,49.0
43.6,173.0
43.7,297.0
43.8,525.0
43.9,1254.0
44.0,1513.0
44.1,699.0
44.2,295.0
44.3,767.0
44.4,1390.0
44.5,1089.0
44.6,345.0
44.7,43.0
44.8,0.0
44.9,18.0
45.0,216.0
45.1,944.0
45.2,1499.0
45.3,858.0
45.4,177.0
45.5,20.0
45.6,74.0
45.7,289.0
45.8,398.0
45.9,195.0
46.0,34.0
46.1,2.0
46.2,3.0
46.3,8.0
46.4,8.0
46.5,3.0
46.6,26.0
46.7,208.0
46.8,603.0
46.9,647.0
47.0,366.0
47.1,240.0
47.2,110.0
47.3,44.0
47.4,140.0
47.5,451.0
47.6,828.0
47.7,664.0
47.8,202.0
47.9,24.0
48.0,29.0
48.1,229.0
48.2,1024.0
48.3,2273.0
48.4,2249.0
48.5,927.0
48.6,150.0
48.7,9.0
48.8,2.0
48.9,18.0
49.0,54.0
49.1,55.0
49.2,20.0
49.3,2.0
49.4,4.0
49.5,39.0
49.6,132.0
49.7,237.0
49.8,368.0
49.9,412.0
50.0,230.0
50.1,115.0
50.2,181.0
50.3,204.0
50.4,335.0
50.5,962.0
50.6,1585.0
50.7,1151.0
50.8,338.0
50.9,73.0
51.0,138.0
51.1,239.0
51.2,218.0
51.3,99.0
51.4,19.0
51.5,1.0
51.6,0.0
51.7,2.0
51.8,27.0
51.9,123.0
52.0,207.0
52.1,198.0
52.2,253.0
52.3,212.0
52.4,67.0
52.5,7.0
52.6,0.0
52.7,1.0
52.8,8.0
52.9,26.0
53.0,34.0
53.1,56.0
53.2,237.0
53.3,522.0
53.4,635.0
53.5,486.0
53.6,261.0
53.7,225.0
53.8,430.0
53.9,492.0
54.0,247.0
54.1,142.0
54.2,97.0
54.3,28.0
54.4,14.0
54.5,92.0
54.6,261.0
54.7,282.0
54.8,143.0
54.9,128.0
55.0,292.0
55.1,296.0
55.2,105.0
55.3,13.0
55.4,1.0
55.5,3.0
55.6,5.0
55.7,5.0
55.8,3.0
55.9,5.0
56.0,23.0
56.1,44.0
56.2,36.0
56.3,47.0
56.4,192.0
56.5,359.0
56.6,284.0
56.7,219.0
56.8,212.0
56.9,92.0
57.0,14.0
57.1,1.0
57.2,0.0
57.3,0.0
57.4,0.0
57.5,1.0
57.6,4.0
57.7,9.0
57.8,8.0
57.9,2.0
58.0,0.0
58.1,4.0
58.2,47.0
58.3,221.0
58.4,433.0
58.5,362.0
58.6,183.0
58.7,121.0
58.8,183.0
58.9,559.0
59.0,922.0
59.1,648.0
59.2,236.0
59.3,150.0
59.4,287.0
59.5,327.0
59.6,220.0
59.7,119.0
59.8,41.0
59.9,7.0
60.0,0.0
